filename,case_name,citation,catchword,area_of_law,topic,subtopic,primary_statute,is_criminal,taxonomy_key,pdf_url
2026_SGCA_15.pdf,[2026] SGCA 15,[2026] SGCA 15,Criminal Law — Statutory offences — Misuse of Drugs Act,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2026_SGCA_15/pdf
2026_SGCA_15.pdf,[2026] SGCA 15,[2026] SGCA 15,Criminal Procedure and Sentencing — Appeal — Adducing fresh evidence,Criminal Procedure,General,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing,https://www.elitigation.sg/gd/gd/2026_SGCA_15/pdf
2026_SGCA_15.pdf,[2026] SGCA 15,[2026] SGCA 15,Abuse of process — Inconsistent positions — Appellant seeking to adduce fresh evidence that he elected not to adduce at trial,Criminal Procedure,Abuse of process,General,Criminal Procedure Code 2010,True,Abuse of process,https://www.elitigation.sg/gd/gd/2026_SGCA_15/pdf
2026_SGCA_15.pdf,[2026] SGCA 15,[2026] SGCA 15,Abuse of process — Collateral purpose — Appellant seeking retrial under guise of application to adduce fresh evidence,Criminal Procedure,Abuse of process,General,Criminal Procedure Code 2010,True,Abuse of process,https://www.elitigation.sg/gd/gd/2026_SGCA_15/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Offence of false trading and undertaking market rigging transactions,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Employment of manipulative and deceptive devices in connection with market trading,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Cheating offence causing victim to part with possession of property,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Offence of acting as director of company and managing business without leave whilst being undischarged bankrupt,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Perverting the course of justice,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Principles — Rule against double counting,Criminal Law,Sentencing,Sentencing principles,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Principles,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Principles — One-transaction rule,Criminal Law,Sentencing,Sentencing principles,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Principles,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGCA_13.pdf,[2026] SGCA 13,[2026] SGCA 13,Criminal Procedure and Sentencing — Sentencing — Principles — Totality principle,Criminal Law,Sentencing,Sentencing principles,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Principles,https://www.elitigation.sg/gd/gd/2026_SGCA_13/pdf
2026_SGHC_59.pdf,[2026] SGHC 59,[2026] SGHC 59,Criminal Law — Statutory offences — Road Traffic Act,Criminal Law,Statutory offences,Road Traffic Act,Road Traffic Act,True,Criminal Law — Statutory offences — Road Traffic Act,https://www.elitigation.sg/gd/gd/2026_SGHC_59/pdf
2026_SGHC_59.pdf,[2026] SGHC 59,[2026] SGHC 59,Criminal Procedure and Sentencing — Sentencing — Appeals,Criminal Law,Sentencing,Appeals against sentence,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Appeals,https://www.elitigation.sg/gd/gd/2026_SGHC_59/pdf
2026_SGHC_58.pdf,[2026] SGHC 58,[2026] SGHC 58,Criminal Law — Offences — Rape,Criminal Law,Sexual offences,Rape,Penal Code s 375,True,Criminal Law — Offences — Rape,https://www.elitigation.sg/gd/gd/2026_SGHC_58/pdf
2026_SGHC_58.pdf,[2026] SGHC 58,[2026] SGHC 58,Criminal Law — Offences — Sexual assault involving penetration,Criminal Law,Sexual offences,Sexual assault by penetration,Penal Code s 376,True,Criminal Law — Offences — Sexual assault,https://www.elitigation.sg/gd/gd/2026_SGHC_58/pdf
2026_SGHC_58.pdf,[2026] SGHC 58,[2026] SGHC 58,Criminal Procedure and Sentencing — Sentencing — Young offenders,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2026_SGHC_58/pdf
2026_SGHC_60.pdf,[2026] SGHC 60,[2026] SGHC 60,Criminal Law — Offences — Rape,Criminal Law,Sexual offences,Rape,Penal Code s 375,True,Criminal Law — Offences — Rape,https://www.elitigation.sg/gd/gd/2026_SGHC_60/pdf
